Type,Family id,Family name,Target id,Target name,Subunits,Target systematic name,Target abbreviated name,synonyms,HGNC id,HGNC symbol,HGNC name,Human genetic localisation,Human nucleotide RefSeq,Human protein RefSeq,Human SwissProt,Human Entrez Gene,RGD id,RGD symbol,RGD name,Rat genetic localisation,Rat nucleotide RefSeq,Rat protein RefSeq,Rat SwissProt,Rat Entrez Gene,MGI id,MGI symbol,MGI name,Mouse genetic localisation,Mouse nucleotide RefSeq,Mouse protein RefSeq,Mouse SwissProt,Mouse Entrez Gene
vgic,78,Transient Receptor Potential channels,490,TRPC5,,,,CCE2|TRP5|short transient receptor potential channel 5|transient receptor protein 5|transient receptor potential cation channel,12337,TRPC5,transient receptor potential cation channel subfamily C member 5,Xq23,NM_012471,NP_036603,Q9UL62,7224,619787,Trpc5,"transient receptor potential cation channel, subfamily C, member 5",Xq14,NM_080898,NP_543174,,140933,MGI:109524,Trpc5,"transient receptor potential cation channel, subfamily C, member 5",X F2,NM_009428,NP_033454,Q9QX29,22067
vgic,78,Transient Receptor Potential channels,491,TRPC6,,,,TRP6|short transient receptor potential channel 6|transient receptor potential cation channel,12338,TRPC6,transient receptor potential cation channel subfamily C member 6,11q21-q22,NM_004621,NP_004612,Q9Y210,7225,619788,Trpc6,"transient receptor potential cation channel, subfamily C, member 6",8q11,NM_053559,NP_446011,,89823,MGI:109523,Trpc6,"transient receptor potential cation channel, subfamily C, member 6",9 A1,NM_013838,NP_038866,Q61143,22068
vgic,78,Transient Receptor Potential channels,492,TRPC7,,,,TRP7|capacitative calcium channel TRPC7|short transient receptor potential channel 7|transient receptor potential cation channel,20754,TRPC7,transient receptor potential cation channel subfamily C member 7,5q31.2,NM_020389,NP_065122,Q9HCX4,57113,628820,Trpc7,"transient receptor potential cation channel, subfamily C, member 7",17p14,NM_001191691,NP_001178620,,282822,MGI:1349470,Trpc7,"transient receptor potential cation channel, subfamily C, member 7",13 B2,NM_012035,NP_036165,Q9WVC5,26946
vgic,78,Transient Receptor Potential channels,493,TRPM1,,,,LTRPC1|melastatin 1|MLSN1|transient receptor potential cation channel,7146,TRPM1,transient receptor potential cation channel subfamily M member 1,15q13-q14,NM_002420|NM_001252020|NM_001252024|NM_001252030,NP_002411|NP_001238949|NP_001238949,Q7Z4N2,4308,1597140,Trpm1,"transient receptor potential cation channel, subfamily M, member 1",1q22,NM_001037734|NM_001037733,NP_001032823|NP_001032822,Q2WEA5,361586,MGI:1330305,Trpm1,"transient receptor potential cation channel, subfamily M, member 1",7 C,NM_018752|NM_001039104,NP_061222|NP_001034193,Q2TV84,17364
vgic,78,Transient Receptor Potential channels,494,TRPM2,,,,EREG1|KNP3|LTRPC2|TRPC7|transient receptor potential melastatin family 2|transient receptor potential cation channel,12339,TRPM2,transient receptor potential cation channel subfamily M member 2,21q22.3,NM_003307,NP_003298,O94759,7226,1311889,Trpm2,"transient receptor potential cation channel, subfamily M, member 2",20p12,NM_001011559,NP_001011559,,294329,MGI:1351901,Trpm2,"transient receptor potential cation channel, subfamily M, member 2",10 C1,NM_138301,NP_612174,Q91YD4,28240
vgic,78,Transient Receptor Potential channels,495,TRPM3,,,,LTRPC3|MLSN2|GON-2|transient receptor potential cation channel,17992,TRPM3,transient receptor potential cation channel subfamily M member 3,9q21.11,NM_020952,NP_066003,Q9HCF6,80036,1304888,Trpm3,"transient receptor potential cation channel, subfamily M, member 3",1q51,NM_001191562,NP_001178491,,309407,MGI:2443101,Trpm3,"transient receptor potential cation channel, subfamily M, member 3",19 B,NM_001035239,NP_001030319,,226025
vgic,78,Transient Receptor Potential channels,496,TRPM4,,,,Long TRPC4|Melastatin-like 2|LTRPC4|calcium-activated non-selective cation channel 1|long transient receptor potential channel 4|melastatin like 2 protein|TRPM4B|transient receptor potential cation channel,17993,TRPM4,transient receptor potential cation channel subfamily M member 4,19q13.32,NM_017636,NP_060106,Q8TD43,54795,620244,Trpm4,"transient receptor potential cation channel, subfamily M, member 4",1q22,NM_001136229,NP_001129701,Q9ESQ5,171143,MGI:1915917,Trpm4,"transient receptor potential cation channel, subfamily M, member 4",7 B4,NM_175130,NP_780339,Q7TN37,68667
vgic,78,Transient Receptor Potential channels,497,TRPM5,,,,MTR1|TRP-T|L-TRPC5|transient receptor potential cation channel,14323,TRPM5,transient receptor potential cation channel subfamily M member 5,11p15.5,NM_014555,NP_055370,Q9NZQ8,29850,1310620,Trpm5,"transient receptor potential cation channel, subfamily M, member 5",1q42,NM_001191896,NP_001178825,,365391,MGI:1861718,Trpm5,"transient receptor potential cation channel, subfamily M, member 5",7 F5,NM_020277,NP_064673,Q9JJH7,56843
vgic,78,Transient Receptor Potential channels,498,TRPM6,,,,"HOMG|HSH|hypomagnesemia, secondary hypocalcemia|Channel kinase 2|ChaK2|Melastatin-related TRP cation channel 6|transient receptor potential cation channel",17995,TRPM6,transient receptor potential cation channel subfamily M member 6,9q21.13,NM_017662,NP_060132,Q9BX84,140803,1309942,Trpm6,"transient receptor potential cation channel, subfamily M, member 6",1q43,,,,293874,MGI:2675603,Trpm6,"transient receptor potential cation channel, subfamily M, member 6",19 B,NM_153417,NP_700466,Q8CIR4,225997
vgic,78,Transient Receptor Potential channels,499,TRPM7,,,,"LTRPC7|TRP-PLIK|MagNum|MIC|long transient receptor potential channel 7|transient receptor potential-phospholipase C-interacting kinase|transient receptor potential-related protein, ChaK|ChaK1|Channel-kinase 1|Ltpr7|transient receptor potential cation channel",17994,TRPM7,transient receptor potential cation channel subfamily M member 7,15q21,NM_017672,NP_060142,Q96QT4,54822,620053,Trpm7,"transient receptor potential cation channel, subfamily M, member 7",3q36,NM_053705,NP_446157,Q925B3,679906,MGI:1929996,Trpm7,"transient receptor potential cation channel, subfamily M, member 7",2 F2,NM_021450,NP_067425,Q923J1,58800
vgic,78,Transient Receptor Potential channels,500,TRPM8,,,,LTrpC6|CMR1|cold/menthol receptor 1|transient receptor potential cation channel,17961,TRPM8,transient receptor potential cation channel subfamily M member 8,2q37.1,NM_024080,NP_076985,Q7Z2W7,79054,620762,Trpm8,"transient receptor potential cation channel, subfamily M, member 8",9q35,NM_134371,NP_599198,Q8R455,171384,MGI:2181435,Trpm8,"transient receptor potential cation channel, subfamily M, member 8",1 D,NM_134252,NP_599013,Q8R4D5,171382
vgic,78,Transient Receptor Potential channels,501,TRPML1,,,,MCOLN1|Mucolipin1|ML1,13356,MCOLN1,mucolipin 1,19p13.3-p13.2,NM_020533,NP_065394,Q9GZU1,57192,1308953,Mcoln1,mucolipin 1,12p12,NM_001105903,NP_001099373,,288371,MGI:1890498,Mcoln1,mucolipin 1,8 A1.1,NM_053177,NP_444407,Q99J21,94178
vgic,78,Transient Receptor Potential channels,502,TRPML2,,,,MCOLN2|mucolipin 2|mucolipidin 2,13357,MCOLN2,mucolipin 2,1p22.3,NM_153259,NP_694991,Q8IZK6,255231,1308884,Mcoln2,mucolipin 2,2q44,NM_001039005,NP_001034094,,292168,MGI:1915529,Mcoln2,mucolipin 2,3 H2,NM_001005846|NM_026656,NP_001005846|NP_080932,Q8K595,68279
vgic,78,Transient Receptor Potential channels,503,TRPML3,,,,Mucolipin3,13358,MCOLN3,mucolipin 3,1p22.3,NM_018298,NP_060768,Q8TDD5,55283,1308420,Mcoln3,mucolipin 3,2q44,NM_001012059,NP_001012059,,308022,MGI:1890500,Mcoln3,mucolipin 3,3 H2,NM_134160,NP_598921,Q8R4F0,171166
vgic,78,Transient Receptor Potential channels,504,TRPP1,,,,"APKD2|PKD2|TRPP2|transient receptor potential cation channel, subfamily P, member 2|polycystic kidney disease 2 (autosomal dominant)|polycystin 2, transient receptor potential cation channel",9009,PKD2,"polycystin 2, transient receptor potential cation channel",4q21-23,NM_000297,NP_000288,Q13563,5133,1559992,Pkd2,"polycystin 2, transient receptor potential cation channel",14q22,NM_001191934,NP_001178863,,353503,MGI:1099818,Pkd2,polycystic kidney disease 2,5 E5,NM_008861,NP_032887,O35245,18764
vgic,78,Transient Receptor Potential channels,505,TRPP2,,,,"PKD2L1|PKDL|PKDL2|TRPP3|transient receptor potential cation channel, subfamily P, member 3|polycystic kidney disease 2-like 1|polycystin 2 like 1|polycystin 2 like 1, transient receptor potential cation channel",9011,PKD2L1,"polycystin 2 like 1, transient receptor potential cation channel",10q24.31,NM_016112,NP_057196,Q9P0L9,9033,1306261,Pkd2l1,"polycystin 2 like 1, transient receptor potential cation channel",1q56,NM_001106352,NP_001099822,,293937,MGI:1352448,Pkd2l1,polycystic kidney disease 2-like 1,19 C3,NM_181422,NP_852087,,329064
vgic,78,Transient Receptor Potential channels,506,TRPP3,,,,"TRPP5|polycystin 2 like 2|polycystin 2 like 2, transient receptor potential cation channel",9012,PKD2L2,"polycystin 2 like 2, transient receptor potential cation channel",5q31,NM_014386,NP_055201,Q9NZM6,27039,1310272,Pkd2l2,"polycystin 2 like 2, transient receptor potential cation channel",18p12,NM_001106156,NP_001099626,,291683,MGI:1858231,Pkd2l2,polycystic kidney disease 2-like 2,18 C,NM_016927,NP_058623,Q9JLG4,53871
vgic,78,Transient Receptor Potential channels,507,TRPV1,,,,OTRPC1|VR1|capsaicin receptor|osm-9-like TRP channel 1|vanilloid receptor 1|transient receptor potential cation channel,12716,TRPV1,transient receptor potential cation channel subfamily V member 1,17p13.2,NM_018727,NP_061197,Q8NER1,7442,628841,Trpv1,"transient receptor potential cation channel, subfamily V, member 1",10q24,NM_031982,NP_114188,O35433,83810,MGI:1341787,Trpv1,"transient receptor potential cation channel, subfamily V, member 1",11 B3,NM_001001445,NP_001001445,Q704Y3,193034
vgic,78,Transient Receptor Potential channels,508,TRPV2,,,,"GRC|OTRPC2|VRL-1|vanilloid receptor-like protein 1|Vrl1|transient receptor potential cation channel, subfamily V, member 2|transient receptor potential cation channel",18082,TRPV2,transient receptor potential cation channel subfamily V member 2,17p11.2,NM_016113,NP_057197,Q9Y5S1,51393,3965,Trpv2,"transient receptor potential cation channel, subfamily V, member 2",10q22,NM_017207,NP_058903,Q9WUD2,29465,MGI:1341836,Trpv2,"transient receptor potential cation channel, subfamily V, member 2",11 B2,NM_011706,NP_035836,Q9WTR1,22368
vgic,78,Transient Receptor Potential channels,509,TRPV3,,,,"VRL3|OLMS|transient receptor potential cation channel, subfamily V, member 3|transient receptor potential cation channel",18084,TRPV3,transient receptor potential cation channel subfamily V member 3,17p13.3,NM_145068,NP_659505,Q8NET8,162514,1564531,Trpv3,"transient receptor potential cation channel, subfamily V, member 3",10q24,NM_001025757,NP_001020928,,497948,MGI:2181407,Trpv3,"transient receptor potential cation channel, subfamily V, member 3",11 B4,NM_145099,NP_659567,Q8K424,246788
vgic,78,Transient Receptor Potential channels,510,TRPV4,,,,TRP12|VRL-2|CMT2C|osm-9-like TRP channel 4|vanilloid receptor-related osmotically activated channel (Vroac)|HMSN2C|SMAL|SPSMA|SSQTL1|osmosensitive transient receptor potential channel 4|OTRPC4|transient receptor potential cation channel,18083,TRPV4,transient receptor potential cation channel subfamily V member 4,12q24.1,NM_021625,NP_067638,Q9HBA0,59341,69337,Trpv4,"transient receptor potential cation channel, subfamily V, member 4",12q16,NM_023970,NP_076460,Q9ERZ8,66026,MGI:1926945,Trpv4,"transient receptor potential cation channel, subfamily V, member 4",5 F,NM_022017,NP_071300,Q9EPK8,63873
vgic,78,Transient Receptor Potential channels,511,TRPV5,,,,OTRPC3|ECaC|ECaC1|epithelial calcium channel 1|calcium transporter 2|osm-9-like TRP channel 3|CAT2|transient receptor potential cation channel,3145,TRPV5,transient receptor potential cation channel subfamily V member 5,7q35,NM_019841,NP_062815,Q9NQA5,56302,620636,Trpv5,"transient receptor potential cation channel, subfamily V, member 5",4q23,NM_053787,NP_446239,Q9JIP0,116469,MGI:2429764,Trpv5,"transient receptor potential cation channel, subfamily V, member 5",6 B2.1,NM_001007572,NP_001007573,P69744,194352
vgic,78,Transient Receptor Potential channels,512,TRPV6,,,,CaT1|CaT-like|ECaC2|epithelial calcium channel 2|calcium transport protein 1|epithelial apical membrane calcium transporter/channel CaT1|osmosensitive transient receptor potential channel 3|Otrpc3|transient receptor potential cation channel,14006,TRPV6,transient receptor potential cation channel subfamily V member 6,7q33-q34,NM_018646,NP_061116,Q9H1D0,55503,69335,Trpv6,"transient receptor potential cation channel, subfamily V, member 6",4q22,NM_053686,NP_446138,Q9R186,114246,MGI:1927259,Trpv6,"transient receptor potential cation channel, subfamily V, member 6",6 B2,NM_022413,NP_071858,Q91WD2,64177
vgic,79,Two P domain potassium channels,513,K<sub>2P</sub>1.1,,,,"TWIK-1|hOHO|DPK|potassium channel, subfamily K, member 1|potassium channel, two pore domain subfamily K, member 1|potassium channel",6272,KCNK1,potassium two pore domain channel subfamily K member 1,1q42-43,NM_002245,NP_002236,O00180,3775,621447,Kcnk1,potassium two pore domain channel subfamily K member 1,19q12,NM_021688,NP_067720,Q9Z2T2,59324,MGI:109322,Kcnk1,"potassium channel, subfamily K, member 1",8 E2,NM_008430,NP_032456,O08581,16525
vgic,79,Two P domain potassium channels,514,K<sub>2P</sub>2.1,,,,"TPKC1|TREK-1|arachidonic acid sensitive tandem pore domain potassium channel|potassium channel, two pore domain subfamily K, member 2|potassium channel",6277,KCNK2,potassium two pore domain channel subfamily K member 2,1q41,NM_001017424,NP_001017424,O95069,3776,621448,Kcnk2,potassium two pore domain channel subfamily K member 2,13q26,NM_172042,NP_742038,,170899,MGI:109366,Kcnk2,"potassium channel, subfamily K, member 2",1 H6,NM_010607,NP_034737,P97438,16526
vgic,79,Two P domain potassium channels,515,K<sub>2P</sub>3.1,,,,"TASK-1|OAT-1|TWIK-related acid-sensitive K+ channel|two pore potassium channel KT3.1|potassium channel, two pore domain subfamily K, member 3|potassium channel",6278,KCNK3,potassium two pore domain channel subfamily K member 3,2p24.1-23.3,NM_002246,NP_002237,O14649,3777,61997,Kcnk3,potassium two pore domain channel subfamily K member 3,6q14,NM_033376,NP_203694,O54912,29553,MGI:1100509,Kcnk3,"potassium channel, subfamily K, member 3",5 B,NM_010608,NP_034738,O35111,16527
vgic,79,Two P domain potassium channels,516,K<sub>2P</sub>4.1,,,,"TRAAK|KT4.1|potassium channel, subfamily K, member 4|potassium channel, two pore domain subfamily K, member 4|potassium channel",6279,KCNK4,potassium two pore domain channel subfamily K member 4,11q13,NM_033310,NP_201567,Q9NYG8,50801,621449,Kcnk4,potassium two pore domain channel subfamily K member 4,1q43,NM_053804,NP_446256,,116489,MGI:1298234,Kcnk4,"potassium channel, subfamily K, member 4",19 A,NM_008431,NP_032457,O88454,16528
vgic,79,Two P domain potassium channels,517,K<sub>2P</sub>5.1,,,,"TASK-2|potassium channel subfamily K member 5|potassium channel, two pore domain subfamily K, member 5|potassium channel",6280,KCNK5,potassium two pore domain channel subfamily K member 5,6q21,NM_003740,NP_003731,O95279,8645,1564985,Kcnk5,potassium two pore domain channel subfamily K member 5,15p16,NM_001039516,NP_001034605,,364241,MGI:1336175,Kcnk5,"potassium channel, subfamily K, member 5",14,NM_021542,NP_067517,,16529
vgic,79,Two P domain potassium channels,518,K<sub>2P</sub>6.1,,,,"TOSS|potassium channel subfamily K member 6 (TWIK-2)|potassium channel, two pore domain subfamily K, member 6|potassium inwardly-rectifying channel",6281,KCNK6,potassium two pore domain channel subfamily K member 6,19q13.1,NM_004823,NP_004814,Q9Y257,9424,621450,Kcnk6,potassium two pore domain channel subfamily K member 6,1q21,NM_053806,NP_446258,,116491,MGI:1891291,Kcnk6,"potassium inwardly-rectifying channel, subfamily K, member 6",7 B1,NM_001033525,NP_001028697,,52150
vgic,79,Two P domain potassium channels,519,K<sub>2P</sub>7.1,,,,"kcnk8|Knot|Mlk3|potassium channel, subfamily K, member 7|potassium channel, two pore domain subfamily K, member 7|potassium channel",6282,KCNK7,potassium two pore domain channel subfamily K member 7,11q13,NM_033347,NP_203133,Q9Y2U2,10089,1565025,Kcnk7,potassium two pore domain channel subfamily K member 7,1q43,,,D4A806,499303,MGI:1341841,Kcnk7,"potassium channel, subfamily K, member 7",19 B2,NM_010609,NP_034739,Q9Z2T1,16530
vgic,79,Two P domain potassium channels,520,K<sub>2P</sub>9.1,,,,"TASK-3|acid-sensitive potassium channel protein TASK-3|potassium channel subfamily K member 9 (Task-3)|TWIK-related acid-sensitive K(+) channel 3|two pore potassium channel KT3.2|potassium channel, subfamily K, member 9|potassium channel, two pore domain subfamily K, member 9|potassium channel",6283,KCNK9,potassium two pore domain channel subfamily K member 9,8q24.3,NM_001282534,NP_001269463,Q9NPC2,51305,621451,Kcnk9,potassium two pore domain channel subfamily K member 9,7q34,NM_053405,NP_445857,Q9ES08,84429,MGI:3521816,Kcnk9,"potassium channel, subfamily K, member 9",15 D3,NM_001033876,NP_001029048,Q3LS21,223604
vgic,79,Two P domain potassium channels,521,K<sub>2P</sub>10.1,,,,"TREK-2|potassium channel, two pore domain subfamily K, member 10|potassium channel",6273,KCNK10,potassium two pore domain channel subfamily K member 10,14q31,NM_021161,NP_066984,P57789,54207,619732,Kcnk10,potassium two pore domain channel subfamily K member 10,6q32,NM_023096,NP_075584,Q9JIS4,65272,MGI:1919508,Kcnk10,"potassium channel, subfamily K, member 10",12 E,NM_029911,NP_084187,,72258
vgic,79,Two P domain potassium channels,522,K<sub>2P</sub>12.1,,,,"THIK-2|tandem pore domain halothane-inhibited potassium channel 2|tandem pore domain potassium channel THIK-2|mntk1|potassium channel, two pore domain subfamily K, member 12|potassium channel",6274,KCNK12,potassium two pore domain channel subfamily K member 12,2p22-p21,NM_022055,NP_071338,Q9HB15,56660,68940,Kcnk12,potassium two pore domain channel subfamily K member 12,6q12,NM_022292,NP_071628,Q9ERS1,64119,MGI:2684043,Kcnk12,"potassium channel, subfamily K, member 12",17 E4,NM_199251,NP_954859,,210741
vgic,79,Two P domain potassium channels,523,K<sub>2P</sub>13.1,,,,"THIK-1|prdx1|tandem pore domain halothane-inhibited potassium channel 1|potassium channel, two pore domain subfamily K, member 13|potassium channel",6275,KCNK13,potassium two pore domain channel subfamily K member 13,14q31-q32,NM_022054,NP_071337,Q9HB14,56659,68941,Kcnk13,potassium two pore domain channel subfamily K member 13,6q32,NM_022293,NP_071629,Q9ERS0,64120,MGI:2384976,Kcnk13,"potassium channel, subfamily K, member 13",12 E,NM_146037,NP_666149,Q8R1P5,217826
vgic,79,Two P domain potassium channels,524,K<sub>2P</sub>15.1,,,,"KT3.3|KCNK14|potassium channel subfamily K member 15 (TASK-5)|TWIK-related acid-sensitive K(+) channel 5|acid-sensitive potassium channel protein TASK-5|KCNK11|potassium channel, subfamily K, member 15|potassium channel, two pore domain subfamily K, member 15|potassium channel",13814,KCNK15,potassium two pore domain channel subfamily K member 15,20q12-20q13,NM_022358,NP_071753,Q9H427,60598,619733,Kcnk15,potassium two pore domain channel subfamily K member 15,3q42,NM_130813,NP_570826,Q8R5I0,156873,MGI:2675209,Kcnk15,"potassium channel, subfamily K, member 15",2 H3,NM_001030292,NP_001025463,,241769
vgic,79,Two P domain potassium channels,525,K<sub>2P</sub>16.1,,,,"TALK1|potassium channel, two pore domain subfamily K, member 16|potassium channel",14464,KCNK16,potassium two pore domain channel subfamily K member 16,6p21.1-p21.2,NM_032115,NP_115491,Q96T55,83795,1582911,Kcnk16,potassium two pore domain channel subfamily K member 16,15p16,NM_001109520,NP_001102990,,688996,MGI:1921821,Kcnk16,"potassium channel, subfamily K, member 16",14 B,NM_029006,NP_083282,,74571
vgic,79,Two P domain potassium channels,526,K<sub>2P</sub>17.1,,,,"TALK2|TASK4|potassium channel, subfamily K, member 17|potassium channel, two pore domain subfamily K, member 17",14465,KCNK17,potassium two pore domain channel subfamily K member 17,6p21.1-2,NM_031460,NP_113648,Q96T54,89822,,,,,,,,,,,,,,,,
vgic,79,Two P domain potassium channels,527,K<sub>2P</sub>18.1,,,,"TRESK-1/TRESK-2|TRIK|TWIK related spinal cord K+ channel|tandem-pore K+ (K(2P)) channel|two-pore-domain potassium channel TRESK|potassium channel, two pore domain subfamily K, member 18|potassium channel",19439,KCNK18,potassium two pore domain channel subfamily K member 18,10q25.3,NM_181840,NP_862823,Q7Z418,338567,1303091,Kcnk18,potassium two pore domain channel subfamily K member 18,1q55,NM_001003820,NP_001003820,Q6Q1P3,445371,MGI:2685627,Kcnk18,"potassium channel, subfamily K, member 18",19 D3,NM_207261,NP_997144,Q6VV64,332396
vgic,80,Voltage-gated calcium channels,528,Ca<sub>v</sub>1.1,,,,"alpha-1S skeletal muscle L-type Ca<sup>2+</sup> channel|CACNL1A3|HOKPP|ROB1|voltage-dependent L-type calcium channel subunit alpha-1S|voltage-gated calcium channel subunit alpha Cav1.1|DHPR alpha1s|fmd|mdg|CCHL1A3|HOKPP1|TTPP1|alpha-1 polypeptide, isoform 3, skeletal muscle|hypoPP|skeletal muscle dihydropyridine receptor|calcium channel",1397,CACNA1S,calcium voltage-gated channel subunit alpha1 S,1q32,NM_000069,NP_000060,Q13698,779,70983,Cacna1s,calcium voltage-gated channel subunit alpha1 S,13,NM_053873,NP_446325,Q02485,116652,MGI:88294,Cacna1s,"calcium channel, voltage-dependent, L type, alpha 1S subunit",1 F,NM_001081023|NM_014193,NP_001074492|NP_055008,Q02789,12292
vgic,80,Voltage-gated calcium channels,529,Ca<sub>v</sub>1.2,,,,"&alpha;1C|cardiac or smooth muscle dihydropyridine receptor|cardiac or smooth muscle L-type Ca<sup>2+</sup> channel|CACH2|CACN2|CACNL1A1|LQT8|calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle|L-type calcium channel alpha-1 subunit|calcium channel, voltage-dependent, L type, alpha 1C subunit|calcium channel",1390,CACNA1C,calcium voltage-gated channel subunit alpha1 C,12p13.3,NM_000719|NM_001167625,NP_000710,Q13936,775,2245,Cacna1c,calcium voltage-gated channel subunit alpha1 C,4q42,NM_012517,NP_036649,P22002,24239,MGI:103013,Cacna1c,"calcium channel, voltage-dependent, L type, alpha 1C subunit",6 F1,NM_009781,NP_033911,Q01815,12288
vgic,80,Voltage-gated calcium channels,530,Ca<sub>v</sub>1.3,,,,neuroendocrine L-type Ca<sup>2+</sup> channel|&alpha;1D|CACH3|CACN4|CACNL1A2|CCHL1A2|calcium channel alpha-1 subunit|Cchl1a|calcium channel,1391,CACNA1D,calcium voltage-gated channel subunit alpha1 D,3p14.3,NM_000720,NP_000711,Q01668,776,70973,Cacna1d,calcium voltage-gated channel subunit alpha1 D,16p16,NM_017298,NP_058994,P27732,29716,MGI:88293,Cacna1d,"calcium channel, voltage-dependent, L type, alpha 1D subunit",14 B,NM_028981,NP_083257,Q99246,12289
vgic,80,Voltage-gated calcium channels,531,Ca<sub>v</sub>1.4,,,,"AIED|COD4|CSNB2|CSNB2A|CSNBX2|JM8|JMC8|OA2|Aland island eye disease (Forsius-Eriksson ocular albinism, ocular albinism type 2)|Sfc17|nerg1|nob2|class F L-type calcium channel|CORDX3|calcium channel",1393,CACNA1F,calcium voltage-gated channel subunit alpha1 F,Xp11.23,NM_005183,NP_005174,O60840,778,621535,Cacna1f,calcium voltage-gated channel subunit alpha1 F,Xq13,NM_053701,NP_446153,,114493,MGI:1859639,Cacna1f,"calcium channel, voltage-dependent, alpha 1F subunit",X A1.1,NM_019582,NP_062528,Q9JIS7,54652
vgic,80,Voltage-gated calcium channels,532,Ca<sub>v</sub>2.1,,,,&alpha;<sub>1A</sub>|APCA|CACNL1A4|FHM|HPCA|MHP1|BccA1|brain calcium channel 1|RBA-I|alpha1A|Ccha1a|SCA6|calcium channel,1388,CACNA1A,calcium voltage-gated channel subunit alpha1 A,19p13.2-p13.1,NM_023035|NM_000068,NP_000059|NP_075461,O00555,773,2244,Cacna1a,calcium voltage-gated channel subunit alpha1 A,19q11,NM_012918,NP_037050,P54282,25398,MGI:109482,Cacna1a,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",8 C3,NM_007578,NP_031604,P97445,12286
vgic,80,Voltage-gated calcium channels,533,Ca<sub>v</sub>2.2,,,,CACNL1A5|CACNN|brain calcium channel III|Cchn1a|&alpha;1B|calcium channel,1389,CACNA1B,calcium voltage-gated channel subunit alpha1 B,9q34,NM_000718,NP_000709,Q00975,774,628852,Cacna1b,calcium voltage-gated channel subunit alpha1 B,3p13,NM_147141,NP_671482,Q02294,257648,MGI:88296,Cacna1b,"calcium channel, voltage-dependent, N type, alpha 1B subunit",2 A2,NM_001042528,NP_001035993,O55017,12287
vgic,80,Voltage-gated calcium channels,534,Ca<sub>v</sub>2.3,,,,"&alpha;<sub>1E</sub>|CACH6|CACNL1A6|brain calcium channel II|CACHA1E|calcium channel, L type, alpha-1 polypeptide, isoform 6|RBE2|RBE-II|alpha1E|Cchra1|BII-1|calcium channel",1392,CACNA1E,calcium voltage-gated channel subunit alpha1 E,1q25-q31,NM_000721,NP_000712,Q15878,777,2246,Cacna1e,calcium voltage-gated channel subunit alpha1 E,13q21,NM_019294,NP_062167,Q07652,54234,MGI:106217,Cacna1e,"calcium channel, voltage-dependent, R type, alpha 1E subunit",1 G3,NM_009782,NP_033912,Q61290,12290
vgic,80,Voltage-gated calcium channels,535,Ca<sub>v</sub>3.1,,,,NBR13|alpha-1G|calcium channel,1394,CACNA1G,calcium voltage-gated channel subunit alpha1 G,17q22,NM_198378|NM_198387|NM_198379|NM_198376,NP_938190|NP_938192|NP_938201|NP_938193|NP_061496,O43497,8913,68942,Cacna1g,calcium voltage-gated channel subunit alpha1 G,10q26-q31,NM_031601,NP_113789,O54898,29717,MGI:1201678,Cacna1g,"calcium channel, voltage-dependent, T type, alpha 1G subunit",11 D,NM_009783,NP_033913,,12291
vgic,80,Voltage-gated calcium channels,536,Ca<sub>v</sub>3.2,,,,a1H|alpha-1H|calcium channel,1395,CACNA1H,calcium voltage-gated channel subunit alpha1 H,16p13.3,NM_021098,NP_066921,O95180,8912,68943,Cacna1h,calcium voltage-gated channel subunit alpha1 H,10q12,NM_153814,NP_722521,Q9EQ60,114862,MGI:1928842,Cacna1h,"calcium channel, voltage-dependent, T type, alpha 1H subunit",17 A3.3,NM_021415,NP_067390,O88427,58226
vgic,80,Voltage-gated calcium channels,537,Ca<sub>v</sub>3.3,,,,&alpha;1I|Ca<sub>v</sub>T.3|low voltage-activated T-type calcium channel alpha-1 subunit (CACNA1I)|alpha-1I|calcium channel,1396,CACNA1I,calcium voltage-gated channel subunit alpha1 I,22q13.1,NM_001003406|NM_021096,NP_001003406|NP_066919,Q9P0X4,8911,68944,Cacna1i,calcium voltage-gated channel subunit alpha1 I,7q34,NM_020084,NP_064469,Q9Z0Y8,56827,MGI:2178051,Cacna1i,"calcium channel, voltage-dependent, alpha 1I subunit",15 E1,NM_001044308,NP_001037773,,239556
vgic,81,Voltage-gated potassium channels,538,K<SUB>v</SUB>1.1,,,,"HBK1|Kcn1|MBK1|RCK1|AEMK|HUK1|Shak|Kcna|Kcpvd|potassium voltage-gated channel subfamily A member 1|RBKI|Kca1-1|mceph|MK1|potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)|potassium channel, voltage gated shaker related subfamily A, member 1|potassium voltage-gated channel",6218,KCNA1,potassium voltage-gated channel subfamily A member 1,12p13.32,NM_000217,NP_000208,Q09470,3736,2949,Kcna1,potassium voltage-gated channel subfamily A member 1,4q42,NM_173095,NP_775118,P10499,24520,MGI:96654,Kcna1,"potassium voltage-gated channel, shaker-related subfamily, member 1",6 F1-F3,NM_010595,NP_034725,P16388,16485
